Data,Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
20210414,BISIGNANO,410,9,1,5,176
20210415,BISIGNANO,411,9,-,7,175
20210416,BISIGNANO,412,9,-,5,178
20210417,BISIGNANO,413,9,-,5,149
20210418,BISIGNANO,416,9,-,4,152
20210419,BISIGNANO,416,9,-,2,134
20210420,BISIGNANO,416,9,-,2,134
20210421,BISIGNANO,416,9,-,2,133
20210422,BISIGNANO,417,9,-,2,134
20210423,BISIGNANO,444,9,-,2,159
20210424,BISIGNANO,444,9,-,1,155
20210425,BISIGNANO,450,9,-,1,85
20210426,BISIGNANO,450,9,-,1,78
20210427,BISIGNANO,450,9,1,-,76
20210428,BISIGNANO,457,9,2,-,82
20210429,BISIGNANO,468,9,2,-,93
20210430,BISIGNANO,469,10,2,-,93
20210501,BISIGNANO,473,10,2,-,91
20210502,BISIGNANO,491,10,1,1,106
20210503,BISIGNANO,491,10,1,1,86
20210504,BISIGNANO,491,10,1,1,75
20210505,BISIGNANO,492,10,1,1,76
20210506,BISIGNANO,492,10,1,1,76
20210507,BISIGNANO,496,10,-,2,79
20210508,BISIGNANO,497,10,-,2,80
20210509,BISIGNANO,500,10,-,3,82
20210510,BISIGNANO,501,10,-,3,83
20210511,BISIGNANO,501,10,-,3,73
20210513,BISIGNANO,508,10,-,2,80
20210514,BISIGNANO,508,10,-,1,80
20210515,BISIGNANO,508,10,-,1,79
20210516,BISIGNANO,508,10,-,1,79
20210517,BISIGNANO,508,10,-,-,80
20210518,BISIGNANO,509,10,-,1,79
20210519,BISIGNANO,511,10,-,1,81
20210520,BISIGNANO,511,10,-,1,81
20210521,BISIGNANO,511,10,-,-,81
20210522,BISIGNANO,511,10,-,-,80
20210525,BISIGNANO,512,10,-,1,54
20210526,BISIGNANO,512,10,-,1,54
20210528,BISIGNANO,512,10,-,1,52
20210530,BISIGNANO,514,10,-,1,43
20210531,BISIGNANO,514,10,-,1,39
20210601,BISIGNANO,514,10,-,1,21
20210602,BISIGNANO,514,10,-,1,21
20210603,BISIGNANO,514,10,-,1,21
20210604,BISIGNANO,514,10,-,1,19
20210605,BISIGNANO,514,10,-,1,16
20210606,BISIGNANO,521,10,-,1,22
20210607,BISIGNANO,521,10,-,1,22
20210608,BISIGNANO,521,10,-,1,20
20210611,BISIGNANO,522,10,-,1,16
20210613,BISIGNANO,522,10,-,1,12
20210615,BISIGNANO,522,10,-,1,12
20210618,BISIGNANO,522,10,-,1,4
20210620,BISIGNANO,522,10,-,-,4
20210621,BISIGNANO,522,10,-,-,4
20210623,BISIGNANO,522,10,-,-,3
20210625,BISIGNANO,522,10,-,-,3
20210629,BISIGNANO,522,10,-,-,2
20210630,BISIGNANO,522,10,-,-,2
20210701,BISIGNANO,522,10,-,-,2
20210706,BISIGNANO,523,10,-,1,-
20210708,BISIGNANO,523,10,-,1,-
20210714,BISIGNANO,526,10,-,1,3
20210715,BISIGNANO,526,10,-,1,3
20210726,BISIGNANO,526,10,-,-,3
20210727,BISIGNANO,526,10,-,-,3
20210728,BISIGNANO,526,10,-,-,2
20210729,BISIGNANO,527,10,-,-,3
20210730,BISIGNANO,527,10,-,-,3
20210731,BISIGNANO,527,10,-,-,3
20210801,BISIGNANO,529,10,-,-,5
20210802,BISIGNANO,529,10,-,-,5
20210803,BISIGNANO,529,10,-,-,4
20210804,BISIGNANO,529,10,-,-,4
20210805,BISIGNANO,529,10,-,-,3
20210806,BISIGNANO,529,10,-,-,3
20210807,BISIGNANO,533,10,-,-,7
20210808,BISIGNANO,533,10,-,-,7
20210809,BISIGNANO,533,10,-,-,7
20210810,BISIGNANO,533,10,-,1,7
20210811,BISIGNANO,534,10,-,-,7
20210812,BISIGNANO,538,10,-,-,11
20210813,BISIGNANO,539,10,-,-,12
20210814,BISIGNANO,539,10,-,-,12
20210815,BISIGNANO,539,10,-,-,12
20210816,BISIGNANO,540,10,-,-,12
20210817,BISIGNANO,540,10,-,-,12
20210818,BISIGNANO,541,10,-,-,12
20210819,BISIGNANO,541,10,-,-,12
20210820,BISIGNANO,544,10,-,-,13
