Data,0-18,19-50,51-70,>70,Non noto
20210424,2944,8520,5396,2369,1
20210425,2990,8641,5461,2386,0
20210426,2990,8647,5463,2389,0
20210427,3007,8693,5501,2402,0
20210428,3039,8755,5547,2417,0
20210429,3071,8838,5597,2437,0
20210430,3083,8888,5624,2456,0
20210501,3106,8951,5658,2503,0
20210502,3130,9032,5692,2519,0
20210503,3146,9067,5717,2534,0
20210504,3159,9091,5737,2541,0
20210505,3183,9132,5764,2545,0
20210506,3183,9132,5764,2545,0
20210507,3244,9266,5847,2571,0
20210508,3267,9317,5882,2578,0
20210509,3298,9379,5914,2594,0
20210510,3310,9396,5923,2598,0
20210511,3312,9403,5929,2602,0
20210513,3365,9513,5995,2617,0
20210514,3388,9568,6028,2624,0
20210515,3398,9596,6047,2635,0
20210516,3410,9617,6060,2642,0
20210517,3408,9608,6055,2667,0
20210518,3412,9622,6065,2644,0
20210519,3431,9659,6102,2655,0
20210520,3437,9681,6110,2660,0
20210521,3452,9708,6130,2669,0
20210522,3470,9722,6149,2670,0
20210525,3497,9767,6164,2677,0
20210526,3512,9814,6187,2685,0
20210528,3529,9847,6206,2689,0
20210530,3551,9889,6223,2698,0
20210531,3552,9890,6226,2700,0
20210601,3553,9906,6234,2703,0
20210602,3561,9935,6243,2709,0
20210603,3569,9952,6257,2716,0
20210604,3591,9989,6266,2720,0
20210605,3594,9995,6272,2727,0
20210606,3604,10023,6290,2728,0
20210607,3609,10029,6292,2730,0
20210608,3609,10033,6292,2731,0
20210611,3634,10093,6311,2742,0
20210613,3653,10115,6323,2746,0
20210615,3653,10118,6324,2747,0
20210618,3671,10153,6336,2752,0
20210620,3690,10186,6348,2760,0
20210621,3690,10186,6349,2760,0
20210623,3701,10210,6361,2764,0
20210625,3702,10219,6362,2764,0
20210629,3706,10236,6373,2768,0
20210630,3707,10239,6378,2770,0
20210701,3711,10253,6381,2773,0
20210706,3730,10291,6392,2781,0
20210708,3734,10294,6402,2786,0
20210714,3762,10350,6431,2794,0
20210715,3762,10350,6431,2794,0
20210726,3829,10473,6481,2829,0
20210727,3841,10487,6485,2831,0
20210728,3851,10506,6488,2832,0
20210729,3863,10533,6492,2832,0
20210730,3867,10542,6496,2836,0
20210731,3874,10565,6502,2836,0
20210801,3889,10586,6509,2837,0
20210802,3889,10586,6509,2838,0
20210803,3893,10596,6512,2838,0
20210804,3911,10629,6519,2842,0
20210805,3921,10654,6527,2844,0
20210806,3951,10674,6529,2845,0
20210807,3968,10705,6544,2849,0
20210808,3971,10719,6548,2851,0
20210809,3972,10719,6549,2853,0
20210810,3976,10726,6553,2854,0
20210811,3998,10763,6571,2861,0
20210812,4025,10812,6590,2869,0
20210813,4040,10854,6606,2878,0
